Hello , Khurumjari
Thank you  , Yamna nungaijare
thankyou,  Thagatchari
Thank you very much : Hainingai Leitana Thagatchari
Good Bye , Chatcharage
How are you? , Noong_ngai_biribra adombo?
Fine , Noongaijari 
Welcome , Lengsinbirak_oo
I love Manipur , Ei Manipur nungshi
I like Manipur , Ei Manipur pamjei 
Do you love Manipur , Adom Manipur nungshibara? 
You are my friend , Adom eigi marup_ni 
Manipur is beautiful , Manipur phajei
Hearty congratulations , Thakatchari 
You are beautiful , Nangshe phajei 
My name is Thoithoibi , Eigi ming Thoithoibi kou_ee
I am a teacher , Ei oja oi
I am from Ukhrul , Ei Ukhrul dagi_nee
Happy to meet you , Adomga oo_najabada yamna nungaijare
Yes , Hoi 
yes, OU 
No , Natte
Sorry, I am late , Saobiganu, ei thengkhare
What is your name? , Adomgi ming kari koubage?
How do I go there? , Aduda karam haina chatkani?
How much is this? , Asi kaya pibage?
Where is your house? , Adomgi yum kadaida leibage?
Where is the nearest police station? , Khwaidagi nakpa police station kadaida leibage?
Where can I go for shopping? , Pot_chei leifam kadaida leibage?
Could you help me? , Adombu ei mateng pangbiba ngamgadara?
What are you doing? , Adom kari toubiribage?
Would you like to join me for lunch? , Adom eiga chak chaminakhrasi 
How do I go to airport? , Airport_ta karam_na chatkani?
What are the tourist spots around? , Asida kari kari yengfam leibage? 
Where shall we meet? , Eikhoi kadaida oo_nasige? 
Was there a call for me? , Eigi call lak_khibara?
Where can I make a phone call? , Phone toufam kadaida leibage?
What happened : Kari Toure?
Whats Up : Keidourige 
Whats Up: Keidourambano ?
I want to go to university , Ei university da chatning_nge
I have lost my way , Ei lambi mang_nare
Go straight ahead , Chumdring chatlo 
Go to the left , Oi_da chatlo
Go to the right , Yet_ta chatlo
Go to the opposite , Maiyok_nabaduda chatlo
Please , Chanbiduna
I will come back , Ei amuk lakchage
I want it , Ei madu pam_me
I dont want that , Ei adum pam_de
This is good , Mashi fei
Let us go , Eikhoi chatlasi
Come tomorrow , Hayeng lak_oo
Get me a glass of water , Eesing glass ama pibi_oo
