en,mni-Mtei
target the opportunity,ꯇꯥꯟꯖꯥ ꯑꯁꯤ ꯄꯥꯟꯗꯝ ꯊꯝꯂꯤ ꯫
Using the business model canvas as a guide makes it easier to figure out,ꯕꯤꯖꯤꯅꯦꯁ ꯃꯣꯗꯦꯜ ꯀꯦꯅꯚꯥꯁ ꯑꯁꯤ ꯒꯥꯏꯗ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯁꯤꯖꯤꯟꯅꯕꯅꯥ ꯍꯦꯟꯅꯥ ꯂꯥꯌꯊꯣꯀꯍꯜꯂꯤ
where and how to pivot since the team can visually diagram its alternatives and,ꯇꯤꯝ ꯑꯁꯤꯅꯥ ꯃꯁꯤꯒꯤ ꯑꯂꯇꯔꯅꯦꯇꯤꯕꯁꯤꯡ ꯑꯁꯤ ꯚꯤꯖꯨꯑꯦꯜ ꯑꯣꯏꯅꯥ ꯗꯥꯏꯒ꯭ꯅꯣꯁ꯭ꯇꯤꯛ ꯇꯧꯕꯥ ꯉꯝꯕꯅꯥ ꯃꯔꯝ ꯑꯣꯏꯗꯨꯅꯥ ꯃꯐꯝ ꯀꯗꯥꯏꯗꯥ ꯑꯃꯁꯨꯡ ꯀꯔꯝꯅꯥ ꯄꯤꯚꯠ ꯇꯧꯒꯗꯒꯦ
see what it needs to change Each time the founders iterate or pivot see Rule,ꯐꯥꯎꯟꯗꯔꯁꯤꯡꯅꯥ ꯏꯇꯤꯔꯦꯠ ꯇꯧꯕꯥ ꯅꯠꯠꯔꯒꯥ ꯄꯤꯚꯠ ꯇꯧꯕꯥ ꯃꯇꯝ ꯈꯨꯗꯤꯡꯗꯥ ꯃꯁꯤꯅꯥ ꯀꯔꯤ ꯍꯣꯡꯗꯣꯀꯄꯥ ꯃꯊꯧ ꯇꯥꯕꯒꯦ ꯍꯥꯌꯕꯗꯨ ꯌꯦꯡꯕꯤꯌꯨ ꯔꯨꯜ .
No 4 in response to customer feedback they draw a new canvas showing the,ꯅꯣ ꯴ ꯀꯁ꯭ꯇꯃꯔꯒꯤ ꯐꯤꯗꯕꯦꯀꯀꯤ ꯄꯥꯎꯈꯨꯝ ꯑꯣꯏꯅꯥ ꯃꯈꯣꯌꯅꯥ ꯑꯅꯧꯕꯥ ꯀꯦꯅꯚꯥꯁ ꯑꯃꯥ ꯁꯦꯝꯃꯤ꯫
changes Over time these multiple canvases form a flip book that shows the,ꯃꯇꯃꯒꯤ ꯃꯇꯨꯡ ꯏꯟꯅꯥ ꯑꯍꯣꯡꯕꯁꯤꯡ ꯑꯁꯤꯅꯥ ꯃꯁꯤꯡ ꯌꯥꯝꯂꯕꯥ ꯀꯦꯅꯚꯥꯁꯁꯤꯡ ꯑꯁꯤꯅꯥ ꯐ꯭ꯂꯤꯞ ꯕꯨꯛ ꯑꯃꯥ ꯁꯦꯝꯃꯤ ꯃꯗꯨꯅꯥ ꯇꯥꯛꯂꯤ꯫
evolution of the business model Agile startups can end up with a sixinchthick,ꯕꯤꯖꯤꯅꯦꯁ ꯃꯣꯗꯦꯜ ꯑꯦꯖꯤꯜ ꯁ꯭ꯇꯥꯔꯇꯑꯄꯁꯤꯡꯒꯤ ꯏꯚꯣꯂꯨꯁꯟ ꯑꯁꯤ ꯁꯤꯛꯁꯏꯟꯆꯊꯤꯛ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯂꯣꯏꯁꯤꯅꯕꯥ ꯌꯥꯏ
stack of business model diagrams they can burn at the IPOcelebration bonfire,ꯕꯤꯖꯤꯅꯦꯁ ꯃꯣꯗꯦꯜ ꯗꯥꯏꯒ꯭ꯅꯣꯁ꯭ꯇꯤꯀꯁꯤꯡꯒꯤ ꯁ꯭ꯇꯦꯛ ꯃꯈꯣꯌꯅꯥ ꯑꯥꯏꯄꯣꯁꯦꯂꯤꯕ꯭ꯔꯦꯁꯟ ꯕꯣꯟꯐꯥꯏꯔꯗꯥ ꯃꯩ ꯊꯥꯕꯥ ꯌꯥꯏ
Much more about how to use business model diagrams to keep score,ꯁ꯭ꯀꯣꯔ ꯊꯝꯅꯕꯥ ꯕꯤꯖꯤꯅꯦꯁ ꯃꯣꯗꯦꯜ ꯗꯥꯏꯒ꯭ꯅꯣꯁ꯭ꯇꯤꯀꯁꯤꯡ ꯀꯔꯝꯅꯥ ꯁꯤꯖꯤꯟꯅꯒꯗꯒꯦ ꯍꯥꯌꯕꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯌꯥꯝꯅꯥ ꯍꯦꯟꯅꯥ
throughout the customer discovery process can be found in Chapter 2,ꯀꯁ꯭ꯇꯃꯔ ꯗꯤꯁ꯭ꯀꯣꯚꯔꯤ ꯄ꯭ꯔꯣꯁꯦꯁ ꯄꯨꯝꯅꯃꯛꯇꯥ ꯆꯦꯞꯇꯔ ꯲ꯗꯥ ꯐꯪꯕꯤꯒꯅꯤ꯫
